semanticResourceURN;Code List;Code Value;codeName
urn:gs1:gdd:cl:ColourCodeListCode:1;ColourCodeListCode;1;National Retail Federation
urn:gs1:gdd:cl:ColourCodeListCode:10;ColourCodeListCode;10;NCS
urn:gs1:gdd:cl:ColourCodeListCode:11;ColourCodeListCode;11;IFPS
urn:gs1:gdd:cl:ColourCodeListCode:2;ColourCodeListCode;2;PANTONE MATCHING SYSTEM
urn:gs1:gdd:cl:ColourCodeListCode:3;ColourCodeListCode;3;PANTONE Process Colour System®
urn:gs1:gdd:cl:ColourCodeListCode:4;ColourCodeListCode;4;The PANTONE Hexachrome® Color System
urn:gs1:gdd:cl:ColourCodeListCode:5;ColourCodeListCode;5;PANTONE TEXTILE Colour System®
urn:gs1:gdd:cl:ColourCodeListCode:6;ColourCodeListCode;6;Assigned by Buyer
urn:gs1:gdd:cl:ColourCodeListCode:7;ColourCodeListCode;7;Assigned by Seller
urn:gs1:gdd:cl:ColourCodeListCode:8;ColourCodeListCode;8;WWS
urn:gs1:gdd:cl:ColourCodeListCode:9;ColourCodeListCode;9;RAL
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode;CombFilterTechnologyTypeCode;;
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:2_LINE_DIGITAL;CombFilterTechnologyTypeCode;2_LINE_DIGITAL;2 Line Digital
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:2D_TO_3D;CombFilterTechnologyTypeCode;2D_TO_3D;2D to 3D
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:3_LINE_DIGITAL;CombFilterTechnologyTypeCode;3_LINE_DIGITAL;3 Line Digital
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:3D_ACTIVE;CombFilterTechnologyTypeCode;3D_ACTIVE;3D Active
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:3D_DIGITAL;CombFilterTechnologyTypeCode;3D_DIGITAL;3D Digital
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:3D_PASSIVE;CombFilterTechnologyTypeCode;3D_PASSIVE;3D Passive
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:3D_PROJECTION;CombFilterTechnologyTypeCode;3D_PROJECTION;3D Projection
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:DIGITAL;CombFilterTechnologyTypeCode;DIGITAL;Digital
urn:gs1:gdd:cl:CombFilterTechnologyTypeCode:NOT_APPLICABLE;CombFilterTechnologyTypeCode;NOT_APPLICABLE;Not Applicable
urn:gs1:gdd:cl:CommunicationChannelCode;CommunicationChannelCode;;
urn:gs1:gdd:cl:CommunicationChannelCode:EMAIL;CommunicationChannelCode;EMAIL;Email
urn:gs1:gdd:cl:CommunicationChannelCode:MOBILE_WEBSITE;CommunicationChannelCode;MOBILE_WEBSITE;Mobile website
urn:gs1:gdd:cl:CommunicationChannelCode:SOCIAL_MEDIA;CommunicationChannelCode;SOCIAL_MEDIA;Social Media
urn:gs1:gdd:cl:CommunicationChannelCode:TELEFAX;CommunicationChannelCode;TELEFAX;Telefax
urn:gs1:gdd:cl:CommunicationChannelCode:TELEPHONE;CommunicationChannelCode;TELEPHONE;Telephone
urn:gs1:gdd:cl:CommunicationChannelCode:WEBSITE;CommunicationChannelCode;WEBSITE;Website
urn:gs1:gdd:cl:ComponentValueTypeCode;ComponentValueTypeCode;;
urn:gs1:gdd:cl:ComponentValueTypeCode:PERCENT;ComponentValueTypeCode;PERCENT;Percent
urn:gs1:gdd:cl:ComponentValueTypeCode:VALUE;ComponentValueTypeCode;VALUE;Value
urn:gs1:gdd:cl:ConditionTypeCode;ConditionTypeCode;;
urn:gs1:gdd:cl:ConditionTypeCode:ALLOWANCE;ConditionTypeCode;ALLOWANCE;Allowance
urn:gs1:gdd:cl:ConditionTypeCode:BRACKET;ConditionTypeCode;BRACKET;Bracket
urn:gs1:gdd:cl:ConditionTypeCode:CHARGE;ConditionTypeCode;CHARGE;Charge
urn:gs1:gdd:cl:ConditionTypeCode:PRICE_NOTIFICATION_LEAD_TIME;ConditionTypeCode;PRICE_NOTIFICATION_LEAD_TIME;Price Notification Lead Time
urn:gs1:gdd:cl:ConditionTypeCode:ROUNDING_FACTOR;ConditionTypeCode;ROUNDING_FACTOR;Rounding Factor
urn:gs1:gdd:cl:ConfirmationStatusReasonCode;ConfirmationStatusReasonCode;;
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC019;ConfirmationStatusReasonCode;CIC019;Missing chemical ingredients information.
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC020;ConfirmationStatusReasonCode;CIC020;Incorrect or outdated chemical ingredients information.
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC100;ConfirmationStatusReasonCode;CIC100;Attribute Analysis Requested
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC101;ConfirmationStatusReasonCode;CIC101;Wrong CIN Publication Type
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC102;ConfirmationStatusReasonCode;CIC102;Unable to Synchronize
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC103;ConfirmationStatusReasonCode;CIC103;Missing GTIN in Item Hierarchy
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC104;ConfirmationStatusReasonCode;CIC104;Required Attribute Information for Data Recipient Missing
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC200;ConfirmationStatusReasonCode;CIC200;Incorrect Context
urn:gs1:gdd:cl:ConfirmationStatusReasonCode:CIC999;ConfirmationStatusReasonCode;CIC999;Free Form Text to be populated by the Data Recipient
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode;ConsumerSalesConditionTypeCode;;
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:1;ConsumerSalesConditionTypeCode;1;Regulated Products Controlled and Handled by Authorized Personnel for an Authorized User.
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:2;ConsumerSalesConditionTypeCode;2;Regulated Product and Controlled
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:3;ConsumerSalesConditionTypeCode;3;Products Requiring to be Sold in Authorized Location to Distribute Regulated Item Without Consulting Personnel at Location
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:RESTRICTED_TO_SELL_12;ConsumerSalesConditionTypeCode;RESTRICTED_TO_SELL_12;Restricted to Sell 12
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:RESTRICTED_TO_SELL_16;ConsumerSalesConditionTypeCode;RESTRICTED_TO_SELL_16;Restricted to Sell 16
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:RESTRICTED_TO_SELL_18;ConsumerSalesConditionTypeCode;RESTRICTED_TO_SELL_18;Restricted to Sell 18
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:RESTRICTED_TO_SELL_21;ConsumerSalesConditionTypeCode;RESTRICTED_TO_SELL_21;Restricted to Sell 21
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:RESTRICTED_TO_SELL_6;ConsumerSalesConditionTypeCode;RESTRICTED_TO_SELL_6;Restricted to Sell 6
urn:gs1:gdd:cl:ConsumerSalesConditionTypeCode:UNRESTRICTED;ConsumerSalesConditionTypeCode;UNRESTRICTED;Unrestricted
urn:gs1:gdd:cl:ConsumerWarningTypeCode;ConsumerWarningTypeCode;;
urn:gs1:gdd:cl:ConsumerWarningTypeCode:AGE;ConsumerWarningTypeCode;AGE;Age
urn:gs1:gdd:cl:ConsumerWarningTypeCode:WEIGHT;ConsumerWarningTypeCode;WEIGHT;Weight
urn:gs1:gdd:cl:ContactTypeCode;ContactTypeCode;;
urn:gs1:gdd:cl:ContactTypeCode:AA;ContactTypeCode;AA;Insurance contact
urn:gs1:gdd:cl:ContactTypeCode:AD;ContactTypeCode;AD;Accounting contact
urn:gs1:gdd:cl:ContactTypeCode:AE;ContactTypeCode;AE;Contract contact
urn:gs1:gdd:cl:ContactTypeCode:AM;ContactTypeCode;AM;Claims contact
urn:gs1:gdd:cl:ContactTypeCode:AP;ContactTypeCode;AP;Accounts payable contact
urn:gs1:gdd:cl:ContactTypeCode:AR;ContactTypeCode;AR;Accounts receivable contact
urn:gs1:gdd:cl:ContactTypeCode:BC;ContactTypeCode;BC;Banking contact
urn:gs1:gdd:cl:ContactTypeCode:BJ;ContactTypeCode;BJ;Department or person responsible for processing purchase order
urn:gs1:gdd:cl:ContactTypeCode:BO;ContactTypeCode;BO;After business hours contact
urn:gs1:gdd:cl:ContactTypeCode:BVP;ContactTypeCode;BVP;Production Facility
urn:gs1:gdd:cl:ContactTypeCode:BXA;ContactTypeCode;BXA;Administrative
urn:gs1:gdd:cl:ContactTypeCode:BYF;ContactTypeCode;BYF;Financial
urn:gs1:gdd:cl:ContactTypeCode:BZL;ContactTypeCode;BZL;Licensee Registrar
urn:gs1:gdd:cl:ContactTypeCode:CB;ContactTypeCode;CB;Changed by
urn:gs1:gdd:cl:ContactTypeCode:CKE;ContactTypeCode;CKE;Cook
urn:gs1:gdd:cl:ContactTypeCode:CP;ContactTypeCode;CP;Responsible person for computer data processing
urn:gs1:gdd:cl:ContactTypeCode:CR;ContactTypeCode;CR;Customer relations
urn:gs1:gdd:cl:ContactTypeCode:CXC;ContactTypeCode;CXC;Consumer Support
urn:gs1:gdd:cl:ContactTypeCode:CYC;ContactTypeCode;CYC;Customer Support
urn:gs1:gdd:cl:ContactTypeCode:CZL;ContactTypeCode;CZL;Logistics
urn:gs1:gdd:cl:ContactTypeCode:DE;ContactTypeCode;DE;Department/employee to execute export procedures
urn:gs1:gdd:cl:ContactTypeCode:DI;ContactTypeCode;DI;Department/employee to execute import procedures
urn:gs1:gdd:cl:ContactTypeCode:DIS;ContactTypeCode;DIS;Distributor
urn:gs1:gdd:cl:ContactTypeCode:DL;ContactTypeCode;DL;Delivery contact
urn:gs1:gdd:cl:ContactTypeCode:DMO;ContactTypeCode;DMO;Operations
urn:gs1:gdd:cl:ContactTypeCode:DNR;ContactTypeCode;DNR;Recall Support
urn:gs1:gdd:cl:ContactTypeCode:DOG;ContactTypeCode;DOG;GDS Contact
urn:gs1:gdd:cl:ContactTypeCode:DPP;ContactTypeCode;DPP;Packaging engineer
urn:gs1:gdd:cl:ContactTypeCode:DQT;ContactTypeCode;DQT;Target Market Information Provider
urn:gs1:gdd:cl:ContactTypeCode:DSU;ContactTypeCode;DSU;Unspecified
urn:gs1:gdd:cl:ContactTypeCode:ED;ContactTypeCode;ED;Engineering contact
urn:gs1:gdd:cl:ContactTypeCode:EXP;ContactTypeCode;EXP;Exporter
urn:gs1:gdd:cl:ContactTypeCode:GR;ContactTypeCode;GR;Goods receiving contact
urn:gs1:gdd:cl:ContactTypeCode:HE;ContactTypeCode;HE;Emergency dangerous goods contact
urn:gs1:gdd:cl:ContactTypeCode:HG;ContactTypeCode;HG;Dangerous goods contact
urn:gs1:gdd:cl:ContactTypeCode:IC;ContactTypeCode;IC;Information contact
urn:gs1:gdd:cl:ContactTypeCode:IMP;ContactTypeCode;IMP;Importer
urn:gs1:gdd:cl:ContactTypeCode:LO;ContactTypeCode;LO;Place of collection contact
urn:gs1:gdd:cl:ContactTypeCode:MGR;ContactTypeCode;MGR;Manager
urn:gs1:gdd:cl:ContactTypeCode:NT;ContactTypeCode;NT;Notification contact
urn:gs1:gdd:cl:ContactTypeCode:OC;ContactTypeCode;OC;Order contact
urn:gs1:gdd:cl:ContactTypeCode:PD;ContactTypeCode;PD;Purchasing contact
urn:gs1:gdd:cl:ContactTypeCode:PM;ContactTypeCode;PM;Product management contact
urn:gs1:gdd:cl:ContactTypeCode:PRC;ContactTypeCode;PRC;Product Recall Notification Contact
urn:gs1:gdd:cl:ContactTypeCode:PRM;ContactTypeCode;PRM;Product Recall Media Contact
urn:gs1:gdd:cl:ContactTypeCode:PRO;ContactTypeCode;PRO;Product Recall Consumer Contact (GS1 Code)
urn:gs1:gdd:cl:ContactTypeCode:PRR;ContactTypeCode;PRR;Product Recall Removal Contact
urn:gs1:gdd:cl:ContactTypeCode:QC;ContactTypeCode;QC;Quality coordinator contact
urn:gs1:gdd:cl:ContactTypeCode:SA;ContactTypeCode;SA;Sales administration
urn:gs1:gdd:cl:ContactTypeCode:SD;ContactTypeCode;SD;Shipping contact
urn:gs1:gdd:cl:ContactTypeCode:SR;ContactTypeCode;SR;Sales representative or department
urn:gs1:gdd:cl:ContactTypeCode:TA;ContactTypeCode;TA;Traffic administrator
urn:gs1:gdd:cl:ContactTypeCode:TD;ContactTypeCode;TD;Test contact
urn:gs1:gdd:cl:ContactTypeCode:TR;ContactTypeCode;TR;Transport contact
urn:gs1:gdd:cl:ContactTypeCode:WH;ContactTypeCode;WH;Warehouse
urn:gs1:gdd:cl:ContactTypeCode:WLS;ContactTypeCode;WLS;Wholesaler
urn:gs1:gdd:cl:ContactTypeCode:ZZZ;ContactTypeCode;ZZZ;Mutually Defined
urn:gs1:gdd:cl:CorrectiveActionCode;CorrectiveActionCode;;
urn:gs1:gdd:cl:CorrectiveActionCode:ACTION_NEEDED;CorrectiveActionCode;ACTION_NEEDED;Action Needed
urn:gs1:gdd:cl:CorrectiveActionCode:CHANGE_BY_REFRESH_MESSAGE;CorrectiveActionCode;CHANGE_BY_REFRESH_MESSAGE;Change By Refresh Message
urn:gs1:gdd:cl:CorrectiveActionCode:CONTACT_TRADING_PARTNER;CorrectiveActionCode;CONTACT_TRADING_PARTNER;Contact Trading Partner
urn:gs1:gdd:cl:CorrectiveActionCode:CORRECTION_MESSAGE;CorrectiveActionCode;CORRECTION_MESSAGE;Correction Message
urn:gs1:gdd:cl:CorrectiveActionCode:INITIAL_ITEM_LOAD_MESSAGE;CorrectiveActionCode;INITIAL_ITEM_LOAD_MESSAGE;Initial Item Load Message
urn:gs1:gdd:cl:CorrectiveActionCode:NEW_ITEM_MESSAGE;CorrectiveActionCode;NEW_ITEM_MESSAGE;New Item Message
urn:gs1:gdd:cl:CorrectiveActionCode:NONE;CorrectiveActionCode;NONE;None
urn:gs1:gdd:cl:CorrectiveActionCode:WARNING;CorrectiveActionCode;WARNING;Warning
urn:gs1:gdd:cl:CountryCode;CountryCode;;
urn:gs1:gdd:cl:CountryCode:001;CountryCode;001;Global Market
urn:gs1:gdd:cl:CountryCode:NON_EU;CountryCode;NON_EU;Non EU
urn:gs1:gdd:cl:CountryCode:D_A;CountryCode;D_A;Development Assistance
urn:gs1:gdd:cl:CountryCode:097;CountryCode;097;European Union
urn:gs1:gdd:cl:CountrySubdivisionCode;CountrySubdivisionCode;;
urn:gs1:gdd:cl:CreditableIngredientTypeCode;CreditableIngredientTypeCode;;
urn:gs1:gdd:cl:CreditableIngredientTypeCode:ALTERNATIVE_PROTEIN_PRODUCT;CreditableIngredientTypeCode;ALTERNATIVE_PROTEIN_PRODUCT;Alternative Protein Product
urn:gs1:gdd:cl:CreditableIngredientTypeCode:FRUIT_VEGETABLE_OR_FRUIT_VEGETABLE_ALTERNATIVE;CreditableIngredientTypeCode;FRUIT_VEGETABLE_OR_FRUIT_VEGETABLE_ALTERNATIVE;Fruit Vegetable or Fruit Vegetable Alternative
urn:gs1:gdd:cl:CreditableIngredientTypeCode:GRAIN_OR_GRAIN_ALTERNATIVE;CreditableIngredientTypeCode;GRAIN_OR_GRAIN_ALTERNATIVE;Grain or Grain Alternative
urn:gs1:gdd:cl:CreditableIngredientTypeCode:MEAT_OR_MEAT_ALTERNATIVE;CreditableIngredientTypeCode;MEAT_OR_MEAT_ALTERNATIVE;Meat or Meat Alternative
urn:gs1:gdd:cl:CriteriaJoinTypeCode;CriteriaJoinTypeCode;;
urn:gs1:gdd:cl:CriteriaJoinTypeCode:AND;CriteriaJoinTypeCode;AND;And
urn:gs1:gdd:cl:CriteriaJoinTypeCode:OR;CriteriaJoinTypeCode;OR;Or
urn:gs1:gdd:cl:CriteriaOperatorTypeCode;CriteriaOperatorTypeCode;;
urn:gs1:gdd:cl:CriteriaOperatorTypeCode:EQUAL_TO;CriteriaOperatorTypeCode;EQUAL_TO;Equal To
urn:gs1:gdd:cl:CriteriaOperatorTypeCode:GREATER_THAN;CriteriaOperatorTypeCode;GREATER_THAN;Greater Than
urn:gs1:gdd:cl:CriteriaOperatorTypeCode:LESS_THAN;CriteriaOperatorTypeCode;LESS_THAN;Less Than
urn:gs1:gdd:cl:CriteriaOperatorTypeCode:LIKE;CriteriaOperatorTypeCode;LIKE;Like
urn:gs1:gdd:cl:CriteriaOperatorTypeCode:NOT_EQUAL_TO;CriteriaOperatorTypeCode;NOT_EQUAL_TO;Not Equal To
urn:gs1:gdd:cl:CumulativeEnergyDemandProtocolCode;CumulativeEnergyDemandProtocolCode;;
urn:gs1:gdd:cl:CumulativeEnergyDemandProtocolCode:OTHER;CumulativeEnergyDemandProtocolCode;OTHER;Code value not available in code list.
urn:gs1:gdd:cl:CumulativeEnergyDemandProtocolCode:VDI_4600_CED;CumulativeEnergyDemandProtocolCode;VDI_4600_CED;VDI 4600 CED
urn:gs1:gdd:cl:CumulativeEnergyDemandReferenceSubstanceCode;CumulativeEnergyDemandReferenceSubstanceCode;;
urn:gs1:gdd:cl:CumulativeEnergyDemandReferenceSubstanceCode:MJ_PER_FU;CumulativeEnergyDemandReferenceSubstanceCode;MJ_PER_FU;MJ per Functional Unit.
urn:gs1:gdd:cl:CumulativeEnergyDemandReferenceSubstanceCode:OTHER;CumulativeEnergyDemandReferenceSubstanceCode;OTHER;Other
urn:gs1:gdd:cl:CumulativeEnergyDemandTypeCode;CumulativeEnergyDemandTypeCode;;
urn:gs1:gdd:cl:CumulativeEnergyDemandTypeCode:CUMULATIVE_ENERGY_DEMAND_NON_RENEWABLE;CumulativeEnergyDemandTypeCode;CUMULATIVE_ENERGY_DEMAND_NON_RENEWABLE;Cumulative Energy Demand Non-renewable
urn:gs1:gdd:cl:CumulativeEnergyDemandTypeCode:CUMULATIVE_ENERGY_DEMAND_RENEWABLE;CumulativeEnergyDemandTypeCode;CUMULATIVE_ENERGY_DEMAND_RENEWABLE;Cumulative Energy Demand Renewable
urn:gs1:gdd:cl:CumulativeEnergyDemandTypeCode:OTHER;CumulativeEnergyDemandTypeCode;OTHER;Other
urn:gs1:gdd:cl:CurrencyCode;CurrencyCode;;
urn:gs1:gdd:cl:CutForSaleThicknessCode;CutForSaleThicknessCode;;
urn:gs1:gdd:cl:CutForSaleThicknessCode:EXTRA_THIN;CutForSaleThicknessCode;EXTRA_THIN;Extra Thin
urn:gs1:gdd:cl:CutForSaleThicknessCode:NORMAL;CutForSaleThicknessCode;NORMAL;Normal
urn:gs1:gdd:cl:CutForSaleThicknessCode:THICK;CutForSaleThicknessCode;THICK;Thick
urn:gs1:gdd:cl:CutForSaleThicknessCode:THIN;CutForSaleThicknessCode;THIN;Thin
urn:gs1:gdd:cl:DangerousGoodsRegulationCode;DangerousGoodsRegulationCode;;
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ADR;DangerousGoodsRegulationCode;ADR;(ECom Code) European agreement regarding the total carriage of dangerous goods
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ADG;DangerousGoodsRegulationCode;ADG;Australian Dangerous Goods Code
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:CFR;DangerousGoodsRegulationCode;CFR;(ECom Code) 49 code of federal regulations
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:HSN;DangerousGoodsRegulationCode;HSN;Hazardous Substances and New Organisms Act 
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ICA;DangerousGoodsRegulationCode;ICA;(ECom Code) IATA ICAO
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:IMD;DangerousGoodsRegulationCode;IMD;(ECom Code) IMO IMDG code
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:RID;DangerousGoodsRegulationCode;RID;(ECom Code) Rail/road dangerous goods book (RID)
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:TEC;DangerousGoodsRegulationCode;TEC;(ECOM Code) Transport Emergency Trem Card (GS1 Code)
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:UI;DangerousGoodsRegulationCode;UI;(ECOM Code) UK IMO Book
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ZCG;DangerousGoodsRegulationCode;ZCG;(GDSN Code) Contains Dangerous Goods
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ZGE;DangerousGoodsRegulationCode;ZGE;(GDSN Code) Contains Dangerous Goods Exception
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ZNA;DangerousGoodsRegulationCode;ZNA;(GDSN Code) Item is not a dangerous good nor contains dangerous good(s)
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ZNB;DangerousGoodsRegulationCode;ZNB;(GDSN Code) No Dangerous Goods But Additional Information
urn:gs1:gdd:cl:DangerousGoodsRegulationCode:ZZZ;DangerousGoodsRegulationCode;ZZZ;Mutually Defined
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode;DangerousGoodsTransportCategoryCode;;
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode:0;DangerousGoodsTransportCategoryCode;0;
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode:1;DangerousGoodsTransportCategoryCode;1;
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode:2;DangerousGoodsTransportCategoryCode;2;
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode:3;DangerousGoodsTransportCategoryCode;3;
urn:gs1:gdd:cl:DangerousGoodsTransportCategoryCode:4;DangerousGoodsTransportCategoryCode;4;
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode;DangerousSubstancesWaterSolubilityCode;;
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:DISPERSIBLE;DangerousSubstancesWaterSolubilityCode;DISPERSIBLE;Dispersible
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:EMULSIFIABLE;DangerousSubstancesWaterSolubilityCode;EMULSIFIABLE;Emulsifiable
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:INSOLUBLE;DangerousSubstancesWaterSolubilityCode;INSOLUBLE;Insoluble
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:NOT_OR_HARDLY_MISCIBLE;DangerousSubstancesWaterSolubilityCode;NOT_OR_HARDLY_MISCIBLE;Not or Hardly Miscible
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:SUSPENDED;DangerousSubstancesWaterSolubilityCode;SUSPENDED;Suspended
urn:gs1:gdd:cl:DangerousSubstancesWaterSolubilityCode:WATER_SOLUBLE;DangerousSubstancesWaterSolubilityCode;WATER_SOLUBLE;Water Soluble
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode;DataCarrierFamilyTypeCode;;
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:EAN_UPC;DataCarrierFamilyTypeCode;EAN_UPC;EAN UPC
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:EAN_UPC_COMPOSITE;DataCarrierFamilyTypeCode;EAN_UPC_COMPOSITE;EAN UPC Composite
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_128;DataCarrierFamilyTypeCode;GS1_128;GS1 128
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_128_COMPOSITE;DataCarrierFamilyTypeCode;GS1_128_COMPOSITE;GS1 128 Composite
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_DATABAR;DataCarrierFamilyTypeCode;GS1_DATABAR;GS1 Databar
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_DATABAR_COMPOSITE;DataCarrierFamilyTypeCode;GS1_DATABAR_COMPOSITE;GS1 Databar Composite
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_DATAMATRIX;DataCarrierFamilyTypeCode;GS1_DATAMATRIX;GS1 Datamatrix
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:GS1_QR_CODE;DataCarrierFamilyTypeCode;GS1_QR_CODE;GS1 QR Code
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:ITF_14;DataCarrierFamilyTypeCode;ITF_14;ITF 14
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:NO_BARCODE;DataCarrierFamilyTypeCode;NO_BARCODE;No Barcode
urn:gs1:gdd:cl:DataCarrierFamilyTypeCode:RFID_EPC_TAG;DataCarrierFamilyTypeCode;RFID_EPC_TAG;Tagged with EPC RFID
urn:gs1:gdd:cl:DataCarrierPresenceCode;DataCarrierPresenceCode;;
urn:gs1:gdd:cl:DataCarrierPresenceCode:ALWAYS;DataCarrierPresenceCode;ALWAYS;Always
urn:gs1:gdd:cl:DataCarrierPresenceCode:NEVER;DataCarrierPresenceCode;NEVER;Never
urn:gs1:gdd:cl:DataCarrierPresenceCode:SOMETIMES;DataCarrierPresenceCode;SOMETIMES;Sometimes
urn:gs1:gdd:cl:DataCarrierTypeCode;DataCarrierTypeCode;;
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_13;DataCarrierTypeCode;EAN_13;EAN 13
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_13_COMPOSITE;DataCarrierTypeCode;EAN_13_COMPOSITE;EAN 13 COMPOSITE
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_13_WITH_FIVE_DIGIT_ADD_ON;DataCarrierTypeCode;EAN_13_WITH_FIVE_DIGIT_ADD_ON;EAN 13 WITH FIVE DIGIT ADD ON
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_13_WITH_TWO_DIGIT_ADD_ON;DataCarrierTypeCode;EAN_13_WITH_TWO_DIGIT_ADD_ON;EAN 13 WITH TWO DIGIT ADD ON
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_8;DataCarrierTypeCode;EAN_8;EAN 8
urn:gs1:gdd:cl:DataCarrierTypeCode:EAN_8_COMPOSITE;DataCarrierTypeCode;EAN_8_COMPOSITE;EAN 8 COMPOSITE
urn:gs1:gdd:cl:DataCarrierTypeCode:EPC_ENABLED_RFID_TAG;DataCarrierTypeCode;EPC_ENABLED_RFID_TAG;EPC ENABLED RFID TAG
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_128;DataCarrierTypeCode;GS1_128;GS1 128
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_128_COMPOSITE;DataCarrierTypeCode;GS1_128_COMPOSITE;GS1 128 COMPOSITE
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATA_MATRIX;DataCarrierTypeCode;GS1_DATA_MATRIX;GS1 DATA MATRIX
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_EXPANDED;DataCarrierTypeCode;GS1_DATABAR_EXPANDED;GS1 DATABAR EXPANDED
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_EXPANDED_COMPOSITE;DataCarrierTypeCode;GS1_DATABAR_EXPANDED_COMPOSITE;GS1 DATABAR EXPANDED COMPOSITE
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_EXPANDED_STACKED;DataCarrierTypeCode;GS1_DATABAR_EXPANDED_STACKED;GS1 DATABAR EXPANDED STACKED
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_EXPANDED_STACKED_COMPOSITE;DataCarrierTypeCode;GS1_DATABAR_EXPANDED_STACKED_COMPOSITE;GS1 DATABAR EXPANDED COMPOSITE
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_LIMITED;DataCarrierTypeCode;GS1_DATABAR_LIMITED;GS1 DATABAR LIMITED
urn:gs1:gdd:cl:DataCarrierTypeCode:GS1_DATABAR_LIMITED_COMPOSITE;DataCarrierTypeCode;GS1_DATABAR_LIMITED_COMPOSITE;GS1 DATABAR LIMITED COMPOSITE
